Date,AccountValue
2025-09-05,22405.73
2025-09-08,22356.44
2025-09-09,22392.21
2025-09-10,22430.28
2025-09-11,22407.85
2025-09-12,22571.43
2025-09-15,22496.57
2025-09-16,22505.57
2025-09-17,22435.8
2025-09-18,22480.67
2025-09-19,22665.01
2025-09-22,22735.27
2025-09-23,22742.09
2025-09-24,22732.99
2025-09-25,22739.81
2025-09-26,22714.8
2025-09-29,22785.22
2025-09-30,22814.84
2025-10-01,23830.81
2025-10-02,23897.54
2025-10-03,23993.13
2025-10-06,23995.53
2025-10-07,24007.53
2025-10-08,23978.72
2025-10-09,24091.42
2025-10-10,24110.69
2025-10-13,23758.67
2025-10-14,23774.9
2025-10-15,23974.61
2025-10-16,23967.42
2025-10-17,23749.32
2025-10-20,23898.94
2025-10-21,24066.23
2025-10-22,24121.58
2025-10-23,24058.86
2025-10-24,24179.15
2025-10-27,24300.05
2025-10-28,24426.41
2025-10-29,24594.95
2025-10-30,24553.14
2025-10-31,24555.6
2025-11-03,25587.52
2025-11-04,25508.2
2025-11-05,25490.34
2025-11-06,25597.4
2025-11-07,25338.87
2025-11-10,25384.48
2025-11-11,25554.56
2025-11-12,25623.56
2025-11-13,25767.05
2025-11-14,25387.84
2025-11-17,25385.3
2025-11-18,25131.45
2025-11-19,25058.57
2025-11-20,25228.97
2025-11-21,24895.95
2025-11-24,25015.45
2025-11-25,25105.51
2025-11-26,25205.93
2025-11-27,25236.18
2025-11-28,25238.7
2025-12-01,26294.23
2025-12-02,26254.79
2025-12-03,26249.54
2025-12-04,26212.79
2025-12-05,26249.49
2025-12-08,26288.86
2025-12-09,26238.91
2025-12-10,26238.91
2025-12-11,26312.38
2025-12-12,26365
2025-12-15,26219.55
2025-12-16,26159.25
2025-12-17,26193.26
2025-12-18,26148.73
2025-12-19,26203.64
2025-12-22,26329.42
2025-12-23,26376.81
2025-12-24,26384.72
2025-12-25,26384.72
2025-12-26,26390
2025-12-29,26405.83
2025-12-30,26374.14
2025-12-31,26389.96
2026-01-01,27389.96
2026-01-02,27335.18
2026-01-05,27376.18
2026-01-06,27529.49
2026-01-07,27722.2
2026-01-08,27666.76
2026-01-09,27708.26
2026-01-12,27813.55
2026-01-13,27849.71
2026-01-14,27874.31
2026-01-15,27893.82
2026-01-16,28061.18
2026-01-19,28010.67
2026-01-20,27957.45
2026-01-21,27957.45
